1582033230937|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT version()|SELECT version()
1582033230954|5|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|select VARIABLE_VALUE from performance_schema.global_variables where variable_name = 'pxc_strict_mode'|select VARIABLE_VALUE from performance_schema.global_variables where variable_name = 'pxc_strict_mode'
1582033230956|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT DATABASE()|SELECT DATABASE()
1582033230958|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1582033230959|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT @@foreign_key_checks|SELECT @@foreign_key_checks
1582033230960|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT @@sql_safe_updates|SELECT @@sql_safe_updates
1582033230961|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT DATABASE()|SELECT DATABASE()
1582033230963|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT version()|SELECT version()
1582033230971|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT (SELECT 1 FROM information_schema.schemata WHERE schema_name=? LIMIT 1)|SELECT (SELECT 1 FROM information_schema.schemata WHERE schema_name='haircut' LIMIT 1)
1582033230983|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1582033230984|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1582033231012|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `flyway_schema_history` WHERE `installed_rank` > ? ORDER BY `installed_rank`|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `flyway_schema_history` WHERE `installed_rank` > -1 ORDER BY `installed_rank`
1582033231017|0|commit|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai||
1582033231020|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1582033231021|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1582033231029|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1582033231030|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1582033231031|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT GET_LOCK(?,10)|SELECT GET_LOCK('Flyway--1817920359',10)
1582033231032|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1582033231033|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
